index,hub,latitude,longitude
526,17696,25.90982,-97.49673
527,17697,26.47415,-97.78409
528,17698,27.58287,-97.80298
529,17699,27.78581,-97.45653
530,17700,27.78732,-97.41878
531,17701,27.81195,-97.4529
532,17702,27.81525,-97.39925
533,17703,28.80072,-96.99937
534,17704,29.47556,-95.6237
535,17705,29.4268,-95.24939
536,17706,29.42993,-95.24709
537,17707,29.55742,-95.28505
538,17708,29.7865,-95.11751
539,17709,29.29012,-94.85884
540,17710,29.29836,-94.82318
541,17711,29.30167,-94.81346
542,17712,29.31151,-94.78271
543,17713,29.58272,-96.32626
544,17714,29.78239,-96.16
545,17715,30.00679,-97.1651
546,17716,30.00835,-97.16449
547,17717,31.31149,-96.89577
548,17718,31.68732,-96.48503
549,17719,29.90804,-96.78059
550,17720,28.33675,-98.11246
551,17721,28.97227,-98.48065
552,17722,29.43993,-98.4413
553,17723,29.43611,-98.45427
554,17724,29.60471,-98.60005
555,17725,27.41991,-98.56642
556,17726,29.81848,-101.55078
557,17727,31.36618,-105.91913
558,17728,36.19345,-101.20456
559,17729,32.75813,-97.31705
560,17730,32.78667,-97.33731
561,17732,32.76041,-97.32054
562,17734,32.77596,-97.33042
563,17735,32.78102,-97.34242
564,17736,32.6521,-97.29224
565,17737,32.25084,-101.48717
566,17738,30.01126,-95.80421
567,17739,29.69644,-98.11926
568,17740,29.70699,-98.12869
569,17741,29.70138,-98.1275
570,17742,32.74191,-97.32143
571,17743,32.74619,-97.32111
572,17744,32.74815,-97.32114
573,17745,32.74559,-97.32117
574,17746,32.75487,-97.32204
575,17747,32.74495,-97.32262
576,17748,32.74443,-97.31949
577,17749,30.20001,-94.18991
578,17750,31.74269,-99.94312
579,17751,31.25468,-100.81548
580,17752,32.81468,-96.94264
581,17753,32.81781,-96.9455
582,17754,32.76512,-97.0544
583,17756,32.85153,-97.35506
584,17757,32.7888,-97.33951
585,17758,32.78959,-97.33932
586,17759,33.45894,-94.4167
587,17760,29.00546,-95.38233
588,17761,28.95978,-95.35088
589,17762,28.94814,-95.31892
590,17763,35.91136,-100.39188
591,17764,34.58045,-102.80267
592,17765,35.26912,-101.59764
593,17767,35.21242,-101.80252
594,17768,35.22021,-101.76746
595,17769,35.21257,-101.82619
596,17770,35.19875,-101.72452
597,17771,35.21416,-101.79239
598,17772,35.70428,-101.35002
599,17773,30.89279,-102.87901
600,17774,30.99348,-102.71286
601,17775,31.13576,-102.22047
602,17776,31.12622,-101.17146
603,17777,30.64577,-98.31615
604,17778,30.74857,-98.21925
605,17779,30.75972,-98.22241
606,17780,31.07584,-98.16684
607,17781,31.19922,-98.7238
608,17782,32.39241,-98.98038
609,17783,33.82382,-97.95064
610,17784,33.80926,-98.20263
611,17785,33.623,-97.13979
612,17786,33.31595,-96.78619
613,17787,32.97874,-96.59183
614,17788,33.02692,-96.51012
615,17789,32.94367,-96.37977
616,17790,32.87527,-96.68057
617,17791,32.80254,-96.72862
618,17792,33.57332,-96.17934
619,17793,30.30963,-104.02568
620,17794,33.3136,-101.72672
621,17795,33.17966,-102.28412
622,17796,33.75381,-96.53435
623,17797,33.75084,-96.53484
624,17798,31.58153,-97.09233
625,17799,31.57724,-97.09258
626,17800,31.25276,-93.97156
627,17801,31.30229,-103.80647
628,17802,31.83147,-106.431
629,17803,29.85382,-97.96346
630,17804,29.77247,-98.06354
631,17805,29.77283,-98.0637
632,17806,29.85356,-97.96324
633,17807,30.52228,-96.69518
634,17808,30.52559,-96.69197
635,17809,30.88705,-96.5977
636,17810,30.883,-96.59529
637,17811,30.33658,-95.86428
638,17812,30.16996,-95.68066
639,17813,29.82245,-95.23361
640,17814,29.80824,-95.26697
641,17815,29.47307,-98.38451
642,17816,29.34988,-98.58022
643,17817,33.11131,-94.16657
644,17818,33.05801,-96.99998
645,17819,33.02715,-96.86424
646,17820,32.99893,-96.74843
647,17821,33.0132,-96.70085
648,17822,31.05457,-97.44847
649,17823,33.80473,-96.53294
650,17824,30.88467,-96.59644
651,17825,31.5545,-97.09164
652,17826,29.78291,-95.40974
653,17827,29.78557,-95.43875
654,17828,29.56024,-95.81365
655,17829,29.57347,-95.77679
656,17830,29.7829,-95.43813
657,17831,29.61378,-95.18878
658,17832,32.44504,-99.72498
659,17833,32.39156,-99.40381
660,17834,32.4637,-100.41087
661,17835,35.94029,-101.98578
662,17836,29.98633,-93.99676
663,17837,30.04108,-94.06586
664,17838,31.77271,-106.46856
665,17839,31.76416,-106.46759
666,17840,31.77011,-106.46965
667,17841,31.76181,-106.48645
668,17842,31.77112,-106.47246
669,17843,31.81763,-106.43964
670,17844,31.75795,-106.49369
671,17845,31.7719,-106.51352
672,17846,31.74533,-106.37891
673,17847,30.58203,-104.49019
674,17848,30.20528,-103.24353
675,17849,31.15551,-104.07761
676,17850,31.06731,-104.21367
677,17851,31.04042,-104.83124
678,17852,31.02875,-102.61737
679,17853,31.41556,-100.46878
680,17854,31.45891,-100.42709
681,17855,31.48792,-100.41482
682,17856,31.48558,-100.4115
683,17857,31.50713,-100.40469
684,17860,29.78081,-96.1544
685,17861,32.87933,-97.36277
686,17862,32.87797,-97.37804
687,17863,33.23717,-97.58054
688,17864,33.05666,-97.29897
689,17865,32.85814,-97.36087
690,17866,32.82988,-97.336
691,17867,32.69899,-97.43356
692,17868,29.2905,-97.14815
693,17869,33.17625,-97.15305
694,17870,33.11958,-97.18605
695,17871,33.0015,-97.22919
696,17872,32.93095,-97.25481
697,17873,32.93323,-97.07951
